survey,order,code,type,mandatory,question,options_json,relevance,help
parceiros,1,P01_PERFIL,L,yes,Qual descreve melhor o seu negócio ou serviço?,"[[""FIXO"", ""Estabelecimento fixo""], [""MOVEL"", ""Prestador móvel""], [""AMBOS"", ""Estabelecimento e atendimento móvel""], [""OUTRO"", ""Outro""]]",1,
parceiros,2,P02_REGIAO,L,no,Em qual região você atende principalmente?,"[[""PLANO"", ""Plano Piloto""], [""AGUAS"", ""Águas Claras""], [""TAGUATINGA"", ""Taguatinga""], [""CEILANDIA"", ""Ceilândia""], [""SAMAMBAIA"", ""Samambaia""], [""VARIAS_DF"", ""Várias regiões do Distrito Federal""], [""OUTRA"", ""Outra""]]",1,
parceiros,3,P03_VEICULOS,M,yes,Quais tipos de veículo você atende atualmente? Selecione todas as opções aplicáveis.,"[[""CARRO"", ""Carros""], [""MOTO"", ""Motocicletas""], [""OUTRO"", ""Outros veículos""]]",1,
parceiros,4,P04_AQUISICAO,M,no,Como chegam atualmente novos clientes? Selecione todas as opções aplicáveis.,"[[""INDICACAO"", ""Indicação""], [""PASSAGEM"", ""Clientes que passam pelo local""], [""GOOGLE"", ""Google ou mapas""], [""REDES"", ""Redes sociais""], [""ANUNCIOS"", ""Anúncios pagos""], [""RECORRENTE"", ""Clientes recorrentes""], [""PARCERIAS"", ""Parcerias com empresas""]]",1,
parceiros,5,P05_CAPACIDADE,N,no,Quantos atendimentos de lavagem você consegue realizar em uma semana normal?,[],1,Informe uma estimativa aproximada.
parceiros,6,P06_AGENDA,L,yes,Como a agenda é controlada e atualizada atualmente?,"[[""PAPEL"", ""Papel ou caderno""], [""PLANILHA"", ""Planilha""], [""WHATSAPP"", ""WhatsApp ou mensagens""], [""SISTEMA"", ""Sistema próprio ou aplicativo""], [""MEMORIA"", ""Memória ou controle informal""]]",1,
parceiros,7,P07_CONFLITOS,L,yes,Com que frequência ocorrem conflitos de horário ou reservas duplicadas?,"[[""NUNCA"", ""Nunca ou quase nunca""], [""RARO"", ""Raramente""], [""MENSAL"", ""Algumas vezes por mês""], [""SEMANAL"", ""Toda semana""], [""DIARIO"", ""Quase todos os dias""]]",1,
parceiros,8,P08_SERVICOS,M,no,Quais serviços você oferece ou teria interesse em oferecer para motocicletas? Selecione todas as opções aplicáveis.,"[[""BASICA"", ""Lavagem básica""], [""DETALHADA"", ""Lavagem detalhada""], [""RODAS"", ""Limpeza de rodas""], [""CORRENTE"", ""Limpeza ou cuidado da corrente""], [""HIGIENIZACAO"", ""Higienização""], [""POLIMENTO"", ""Polimento""], [""NENHUM"", ""Nenhum desses""]]","P03_VEICULOS_MOTO == ""Y"" or P03_VEICULOS_OUTRO == ""Y""",
parceiros,9,P09_LIMITES_MOTO,T,no,"Quais cuidados, limitações ou equipamentos específicos são necessários para atender motocicletas?",[],"P03_VEICULOS_MOTO == ""Y"" or P03_VEICULOS_OUTRO == ""Y""",
parceiros,10,P10_DEMANDA,M,no,Quais períodos ou regiões têm maior ou menor demanda? Selecione todas as opções aplicáveis.,"[[""DIAS_UTEIS"", ""Dias úteis""], [""FIM_SEMANA"", ""Fim de semana""], [""MANHA"", ""Manhã""], [""TARDE"", ""Tarde""], [""NOITE"", ""Noite""], [""FERIADOS"", ""Feriados""], [""BAIRROS_ESPECIFICOS"", ""Bairros específicos""]]",1,
parceiros,11,P11_RAIO,L,no,Qual raio máximo de deslocamento seria viável para atendimento móvel?,"[[""ATE_3"", ""Até 3 km""], [""4_8"", ""De 4 a 8 km""], [""9_15"", ""De 9 a 15 km""], [""16_25"", ""De 16 a 25 km""], [""MAIS_25"", ""Mais de 25 km""], [""NAO_ATENDO"", ""Não realizo atendimento móvel""]]","P01_PERFIL == ""MOVEL"" or P01_PERFIL == ""AMBOS""",
parceiros,12,P12_EXCECOES,M,no,"Como são tratados atrasos, cancelamentos, ausência e retrabalho? Selecione as situações que já ocorreram.","[[""ATRASO"", ""Atraso do cliente""], [""CANCELAMENTO"", ""Cancelamento do cliente""], [""AUSENCIA"", ""Cliente não compareceu""], [""RETRABALHO"", ""Necessidade de refazer o serviço""], [""DISPUTA"", ""Reclamação ou disputa""], [""NENHUM"", ""Nenhuma dessas""]]",1,
parceiros,13,P13_RESPOSTA,L,yes,Quanto tempo seria aceitável para responder a uma nova solicitação?,"[[""5_MIN"", ""Até 5 minutos""], [""15_MIN"", ""Até 15 minutos""], [""30_MIN"", ""Até 30 minutos""], [""2_HORAS"", ""Até 2 horas""], [""DIA"", ""Até o fim do dia""], [""VARIA"", ""Depende do horário""]]",1,
parceiros,14,P14_DADOS,M,no,Quais informações do cliente são necessárias para aceitar um pedido? Selecione todas as opções aplicáveis.,"[[""TIPO_VEICULO"", ""Tipo e tamanho do veículo""], [""SERVICO"", ""Serviço escolhido""], [""HORARIO"", ""Data e horário desejados""], [""ENDERECO"", ""Endereço, quando for atendimento móvel""], [""TELEFONE"", ""Telefone de contato""], [""OBSERVACOES"", ""Observações ou fotos""], [""NENHUM"", ""Ainda não sei""]]",1,
parceiros,15,P15_PORTAL,M,no,O que poderia dificultar o uso diário de um portal? Selecione todas as opções aplicáveis.,"[[""TEMPO"", ""Falta de tempo""], [""TECNOLOGIA"", ""Dificuldade tecnológica""], [""AGENDA"", ""Atualizar a agenda""], [""EQUIPE"", ""Mais de uma pessoa usando a operação""], [""NOTIFICACOES"", ""Receber e acompanhar notificações""], [""INTERNET"", ""Conectividade""], [""NADA"", ""Nada em especial""]]",1,
parceiros,16,P16_MODELO,L,no,Qual modelo de cobrança pareceria mais compreensível para um teste inicial?,"[[""SEM_CUSTO"", ""Sem custo durante o piloto""], [""POR_PEDIDO"", ""Taxa por agendamento confirmado""], [""COMISSAO"", ""Percentual sobre o serviço""], [""ASSINATURA"", ""Assinatura mensal""], [""LEAD"", ""Cobrança por cliente interessado""], [""OUTRO"", ""Outro""]]",1,
parceiros,17,P17_CAPACIDADE_PILOTO,N,no,Quantos horários por semana você conseguiria disponibilizar para um piloto controlado?,[],1,
parceiros,18,P18_PILOTO,Y,no,Você aceitaria participar de um piloto controlado do ZeloGO em Brasília?,[],1,A resposta não representa contratação ou obrigação comercial.
parceiros,19,P19_COMENTARIO,T,no,Que condição seria indispensável para você confiar e continuar usando uma plataforma desse tipo?,[],1,
