survey,order,code,type,mandatory,question,options_json,relevance,help
clientes,1,C01_VEICULO,L,yes,Qual tipo de veículo você utiliza com maior frequência?,"[[""CARRO"", ""Carro""], [""MOTO"", ""Motocicleta""], [""AMBOS"", ""Carro e motocicleta""], [""OUTRO"", ""Outro""]]",1,
clientes,2,C02_REGIAO,L,no,Em qual região você normalmente procura esse tipo de serviço?,"[[""PLANO"", ""Plano Piloto""], [""AGUAS"", ""Águas Claras""], [""TAGUATINGA"", ""Taguatinga""], [""CEILANDIA"", ""Ceilândia""], [""SAMAMBAIA"", ""Samambaia""], [""OUTRA_DF"", ""Outra região do Distrito Federal""], [""FORA_DF"", ""Fora do Distrito Federal""]]",1,
clientes,3,C03_RECENCIA,L,yes,Quando foi a última vez que você contratou ou realizou uma lavagem?,"[[""7_DIAS"", ""Nos últimos 7 dias""], [""30_DIAS"", ""Nos últimos 30 dias""], [""90_DIAS"", ""Nos últimos 3 meses""], [""MAIS_90"", ""Há mais de 3 meses""], [""NUNCA"", ""Nunca""]]",1,
clientes,4,C04_AQUISICAO,M,no,Como você costuma encontrar ou escolher um prestador? Selecione todas as opções aplicáveis.,"[[""INDICACAO"", ""Indicação de amigos ou familiares""], [""GOOGLE"", ""Busca no Google ou mapas""], [""REDES"", ""Redes sociais""], [""PASSAGEM"", ""Escolho um local por onde passo""], [""APLICATIVO"", ""Aplicativo ou marketplace""], [""RECORRENTE"", ""Uso sempre o mesmo prestador""], [""OUTRO"", ""Outro""]]",1,
clientes,5,C05_DIFICULDADE,T,no,"Pensando na última contratação, o que foi mais difícil na busca, comparação ou agendamento?",[],1,Peça um exemplo recente. Evite sugerir problemas.
clientes,6,C06_ANTECEDENCIA,L,yes,Com que antecedência você normalmente agenda?,"[[""MESMO_DIA"", ""No mesmo dia""], [""1_2_DIAS"", ""Um ou dois dias antes""], [""3_7_DIAS"", ""De três a sete dias antes""], [""MAIS_7"", ""Mais de uma semana antes""], [""SEM_AGENDA"", ""Normalmente não agendo""]]",1,
clientes,7,C07_CRITERIOS,M,no,O que mais pesa na escolha de um prestador? Selecione até três opções.,"[[""PRECO"", ""Preço""], [""DISTANCIA"", ""Proximidade""], [""RAPIDEZ"", ""Rapidez""], [""QUALIDADE"", ""Qualidade percebida""], [""AVALIACOES"", ""Avaliações de outros clientes""], [""CONFIANCA"", ""Confiança e transparência""], [""CONVENIENCIA"", ""Atendimento no meu endereço""], [""ESPECIALIZACAO"", ""Especialização no meu tipo de veículo""]]",1,
clientes,8,C08_MODALIDADE,L,yes,"Em geral, qual modalidade você prefere?","[[""ESTABELECIMENTO"", ""Levar o veículo ao estabelecimento""], [""ENDERECO"", ""Receber o serviço no meu endereço""], [""DEPENDE"", ""Depende do serviço e da situação""]]",1,
clientes,9,C09_CONFIANCA,M,no,Que informações aumentariam sua confiança em um prestador? Selecione todas as opções aplicáveis.,"[[""PRECO_CLARO"", ""Preço claro antes do agendamento""], [""FOTOS"", ""Fotos do local ou do trabalho""], [""AVALIACOES"", ""Avaliações de clientes""], [""DADOS_PARCEIRO"", ""Dados e identificação do prestador""], [""PRAZO"", ""Tempo estimado do serviço""], [""POLITICA"", ""Política de cancelamento""], [""GARANTIA"", ""Garantia ou suporte em caso de problema""]]",1,
clientes,10,C10_MOTO_SERVICOS,M,no,"Para motocicletas, quais serviços você teria interesse em contratar? Selecione todas as opções aplicáveis.","[[""BASICA"", ""Lavagem básica""], [""DETALHADA"", ""Lavagem detalhada""], [""RODAS"", ""Limpeza de rodas""], [""CORRENTE"", ""Limpeza ou cuidado da corrente""], [""HIGIENIZACAO"", ""Higienização""], [""POLIMENTO"", ""Polimento""], [""NENHUM"", ""Nenhum desses""]]","C01_VEICULO == ""MOTO"" or C01_VEICULO == ""AMBOS""",
clientes,11,C11_MOTO_PRECO,L,no,"Para uma lavagem básica de motocicleta, qual faixa de preço você consideraria aceitável?","[[""ATE_30"", ""Até R$ 30""], [""31_50"", ""R$ 31 a R$ 50""], [""51_80"", ""R$ 51 a R$ 80""], [""81_120"", ""R$ 81 a R$ 120""], [""MAIS_120"", ""Mais de R$ 120""], [""NAO_SEI"", ""Não sei avaliar""]]","C01_VEICULO == ""MOTO"" or C01_VEICULO == ""AMBOS""",
clientes,12,C12_NOTIFICACOES,M,no,Como você gostaria de receber confirmações e lembretes? Selecione todas as opções aplicáveis.,"[[""WHATSAPP"", ""WhatsApp""], [""SMS"", ""SMS""], [""EMAIL"", ""E-mail""], [""APP"", ""Notificação no aplicativo""], [""NAO_QUERO"", ""Não preciso de lembretes""]]",1,
clientes,13,C13_RECORRENCIA,L,yes,"Se a experiência fosse boa, com que probabilidade você usaria novamente uma plataforma desse tipo?","[[""MUITO"", ""Muito provável""], [""PROVAVEL"", ""Provável""], [""TALVEZ"", ""Talvez""], [""IMPROVAVEL"", ""Improvável""], [""NAO_SEI"", ""Não sei""]]",1,
clientes,14,C14_PILOTO,Y,no,Você aceitaria participar de um teste controlado do serviço em Brasília?,[],1,A participação será voluntária e não representa promessa de benefício ou contratação.
clientes,15,C15_COMENTARIO,T,no,Há algo importante sobre lavagem de carros ou motocicletas que não perguntamos?,[],1,
